"Velocities","Coverage0","Coverage1","Coverage2","Coverage3","Coverage4","Coverage5","Coverage6","Coverage7","Coverage8","Coverage9","Coverage10","Coverage11","Points:0","Points:1","Points:2"
0.41286,0.00095349,5.2967e-06,2.8381e-05,0.99613,0.0038421,0.95349,0.99492,0.99708,0.99708,2.3085e-05,0.0028939,0,0.01,2.3938,7
0.41309,0.00095402,5.3e-06,2.8388e-05,0.99613,0.003843,0.95402,0.99492,0.99708,0.99708,2.3088e-05,0.0028942,0,0.01,2.3938,7.01
0.41932,0.0009684,5.38e-06,2.8467e-05,0.99611,0.0038571,0.9684,0.99494,0.99708,0.99708,2.3087e-05,0.0028941,0,0.01,2.3938,7.2
0.41919,0.0009681,5.3785e-06,2.8465e-05,0.99611,0.0038568,0.9681,0.99493,0.99708,0.99708,2.3087e-05,0.0028941,0,0.01,2.3938,7.21
0.41264,0.00095299,5.3112e-06,2.8497e-05,0.99612,0.0038521,0.95299,0.99486,0.99707,0.99707,2.3186e-05,0.0029044,0,0.01,2.3938,7.4
0.4128,0.00095335,5.3132e-06,2.85e-05,0.99612,0.0038525,0.95335,0.99486,0.99707,0.99707,2.3187e-05,0.0029045,0,0.01,2.3938,7.41
0.4111,0.00094942,5.2978e-06,2.8524e-05,0.99612,0.0038526,0.94942,0.99482,0.99707,0.99707,2.3226e-05,0.0029085,0,0.01,2.3938,7.6
0.41099,0.00094917,5.2977e-06,2.8531e-05,0.99612,0.0038531,0.94917,0.99482,0.99707,0.99707,2.3233e-05,0.0029092,0,0.01,2.3938,7.61
0.41787,0.00096505,5.4087e-06,2.8769e-05,0.99609,0.003882,0.96505,0.99482,0.99705,0.99705,2.3361e-05,0.0029224,0,0.01,2.3938,7.8
0.41764,0.00096452,5.4064e-06,2.877e-05,0.99609,0.0038818,0.96452,0.99482,0.99705,0.99705,2.3363e-05,0.0029227,0,0.01,2.3938,7.81
0.41342,0.00095478,5.361e-06,2.8779e-05,0.99609,0.0038778,0.95478,0.99478,0.99705,0.99705,2.3418e-05,0.0029283,0,0.01,2.3938,8
0.41351,0.00095498,5.3624e-06,2.8783e-05,0.99609,0.0038782,0.95498,0.99478,0.99705,0.99705,2.342e-05,0.0029285,0,0.01,2.3938,8.01
0.4087,0.00094389,5.297e-06,2.8701e-05,0.99611,0.0038654,0.94389,0.99473,0.99705,0.99705,2.3404e-05,0.0029268,0,0.01,2.3938,8.2
0.40886,0.00094424,5.299e-06,2.8704e-05,0.99611,0.0038659,0.94424,0.99473,0.99705,0.99705,2.3405e-05,0.0029269,0,0.01,2.3938,8.21
0.41054,0.00094813,5.3432e-06,2.888e-05,0.99609,0.0038833,0.94813,0.99475,0.99704,0.99704,2.3537e-05,0.0029405,0,0.01,2.3938,8.4
0.41039,0.00094778,5.342e-06,2.8882e-05,0.99609,0.0038833,0.94778,0.99475,0.99704,0.99704,2.354e-05,0.0029409,0,0.01,2.3938,8.41
0.40545,0.00093638,5.2825e-06,2.8852e-05,0.9961,0.0038751,0.93638,0.99467,0.99703,0.99703,2.357e-05,0.002944,0,0.01,2.3938,8.6
0.40553,0.00093657,5.2843e-06,2.8859e-05,0.9961,0.0038758,0.93657,0.99467,0.99703,0.99703,2.3575e-05,0.0029445,0,0.01,2.3938,8.61
0.41341,0.00095476,5.3991e-06,2.9043e-05,0.99607,0.003901,0.95476,0.99461,0.99702,0.99702,2.3644e-05,0.0029516,0,0.01,2.3938,8.8
0.41346,0.00095488,5.4002e-06,2.9047e-05,0.99607,0.0039013,0.95488,0.99461,0.99702,0.99702,2.3646e-05,0.0029518,0,0.01,2.3938,8.81
0.41423,0.00095665,5.4267e-06,2.917e-05,0.99606,0.0039131,0.95665,0.99459,0.99701,0.99701,2.3744e-05,0.0029619,0,0.01,2.3938,9
