Time for expansion;Time for normal vector calc.;Determining materials;Determining connectivities;Reduced graph num vertices;num componenets;Time for smoothing;Determining visibilities;Setup active cells;Setup partition;Rate calculation;Memory Ray Tracing Data Structure;Level set time integration;Output;Time for Output;Total time step excl. Output;Total time step incl. Output;Chosen time step;Time;Left Time
0.00165235;0.00291074;0;0;0;0;0;0.000852283;0;0;0;0;0.00448093;0;4.79631e-08;0.00989687;0.00989699;0.0260711;2.56209;27.4379
0.00164447;0.00290331;0;0;0;0;0;0.000857965;0;0;0;0;0.00304646;0;4.79631e-08;0.00845283;0.00845293;0.0262376;2.58833;27.4117
0.00167799;0.00289059;0;0;0;0;0;0.000858332;0;0;0;0;0.00407376;0;4.80795e-08;0.00950137;0.00950149;0.0245165;2.61285;27.3872
0.0018629;0.00303702;0;0;0;0;0;0.000847523;0;0;0;0;0.00476561;0;1.37952e-07;0.0105141;0.0105143;0.0247178;2.63756;27.3624
0.0023032;0.0029408;0;0;0;0;0;0.00116957;0;0;0;0;0.0029458;0;4.50527e-08;0.0093601;0.00936023;0.024915;2.66248;27.3375
0.00163599;0.00289496;0;0;0;0;0;0.000846739;0;0;0;0;0.00298469;0;4.49363e-08;0.00836296;0.0083631;0.0251083;2.68759;27.3124
0.00167088;0.00287885;0;0;0;0;0;0.000847358;0;0;0;0;0.00299958;0;4.79631e-08;0.00839726;0.00839738;0.0252978;2.71289;27.2871
0.00164615;0.00289864;0;0;0;0;0;0.0017825;0;0;0;0;0.00292678;0;4.79631e-08;0.00925462;0.00925474;0.0254836;2.73837;27.2616
0.0016439;0.0028983;0;0;0;0;0;0.00103659;0;0;0;0;0.00305719;0;4.79631e-08;0.00863666;0.00863677;0.0256659;2.76404;27.236
0.00166416;0.00361876;0;0;0;0;0;0.000853285;0;0;0;0;0.00296981;0;5.40167e-08;0.00910658;0.00910675;0.0258448;2.78988;27.2101
0.00169325;0.00289158;0;0;0;0;0;0.000850189;0;0;0;0;0.00299587;0;4.79631e-08;0.00843138;0.00843152;0.0260204;2.8159;27.1841
0.00166185;0.00289136;0;0;0;0;0;0.000850451;0;0;0;0;0.00389914;0;4.79631e-08;0.00930334;0.00930348;0.0261928;2.84209;27.1579
0.00241046;0.00298757;0;0;0;0;0;0.000892959;0;0;0;0;0.010719;0;1.5297e-07;0.0170112;0.0170115;0.024349;2.86644;27.1336
0.00168839;0.00295337;0;0;0;0;0;0.000850604;0;0;0;0;0.00296224;0;1.64961e-07;0.00845528;0.00845552;0.0245344;2.89098;27.109
0.00163884;0.00289932;0;0;0;0;0;0.000850526;0;0;0;0;0.00306839;0;4.50527e-08;0.00845767;0.0084578;0.0247158;2.91569;27.0843
0.00168553;0.00290782;0;0;0;0;0;0.000849057;0;0;0;0;0.00306195;0;4.79631e-08;0.00850492;0.00850505;0.0248934;2.94059;27.0594
0.00200131;0.00291305;0;0;0;0;0;0.000850271;0;0;0;0;0.00300361;0;4.79631e-08;0.00876879;0.00876891;0.0250675;2.96565;27.0343
0.00167731;0.00290097;0;0;0;0;0;0.000852553;0;0;0;0;0.00310533;0;4.50527e-08;0.00853666;0.00853678;0.0252381;2.99089;27.0091
0.00165712;0.00290297;0;0;0;0;0;0.000845733;0;0;0;0;0.00303313;0;4.79631e-08;0.00843942;0.00843955;0.00910859;3;27
0.00166293;0.00289395;0;0;0;0;0;0.000853961;0;0;0;0;0.00297685;1;0.0919999;0.00838821;0.100388;0.0254644;3.02546;26.9745
0.00164784;0.00293723;0;0;0;0;0;0.000853378;0;0;0;0;0.00350979;0;4.79631e-08;0.0089489;0.00894903;0.0256279;3.05109;26.9489
0.00170578;0.00290989;0;0;0;0;0;0.000846379;0;0;0;0;0.00299302;0;4.79631e-08;0.00845553;0.00845564;0.0257888;3.07688;26.9231
0.00162975;0.00296848;0;0;0;0;0;0.000850682;0;0;0;0;0.00308699;0;4.79631e-08;0.00853644;0.00853657;0.0246391;3.10152;26.8985
0.00300733;0.00290331;0;0;0;0;0;0.000853414;0;0;0;0;0.00302781;0;4.79631e-08;0.00979234;0.00979248;0.0247951;3.12632;26.8737
0.00165329;0.00291131;0;0;0;0;0;0.00085485;0;0;0;0;0.00302835;0;4.79631e-08;0.00844831;0.00844845;0.0249489;3.15126;26.8487
0.00167359;0.00288904;0;0;0;0;0;0.000853157;0;0;0;0;0.00301206;0;4.80795e-08;0.00842837;0.0084285;0.0251005;3.17636;26.8236
0.00166906;0.00300399;0;0;0;0;0;0.000852168;0;0;0;0;0.00302214;0;4.79631e-08;0.0085479;0.00854803;0.02525;3.20161;26.7984
0.00229443;0.00288467;0;0;0;0;0;0.000855955;0;0;0;0;0.00516077;0;4.20259e-08;0.0111965;0.0111966;0.0253976;3.22701;26.773
0.0018727;0.0029938;0;0;0;0;0;0.00085682;0;0;0;0;0.00669743;0;1.54017e-07;0.0124222;0.0124225;0.0255432;3.25256;26.7474
0.00585871;0.00310654;0;0;0;0;0;0.00200744;0;0;0;0;0.00304632;0;1.55997e-07;0.0140203;0.0140206;0.0256869;3.27824;26.7218
0.00181415;0.00306103;0;0;0;0;0;0.000895208;0;0;0;0;0.00521181;0;4.79631e-08;0.010983;0.0109832;0.0258287;3.30407;26.6959
0.00170496;0.00307064;0;0;0;0;0;0.000902763;0;0;0;0;0.00302046;0;4.79631e-08;0.00869935;0.00869947;0.0259688;3.33004;26.67
0.00168026;0.0030458;0;0;0;0;0;0.000903393;0;0;0;0;0.00377719;0;4.79631e-08;0.00940722;0.00940734;0.02412;3.35416;26.6458
