Number of active Voxels;Number of Leaves;Number of Nodes;TotalLeavesSurfaceArea;TotalActiveCellsSurfaceArea;BoundingBoxSurfaceArea;Average Num. of traversed leaves
1676;1941;1941;11090;6704;3332;3.32833
1677;1941;1941;11088;6708;3332;3.32773
1676;1941;1941;11090;6704;3332;3.32833
1677;1941;1941;11088;6708;3332;3.32773
1672;2314;2314;11292;6688;3332;3.38896
1670;2312;2312;11288;6680;3332;3.38776
1672;2313;2313;11290;6688;3332;3.38836
1674;1943;1943;11100;6696;3332;3.33133
1676;1941;1941;11090;6704;3332;3.32833
1677;1941;1941;11088;6708;3332;3.32773
1676;1941;1941;11090;6704;3332;3.32833
1676;1941;1941;11090;6704;3332;3.32833
1676;1941;1941;11090;6704;3332;3.32833
1677;1941;1941;11088;6708;3332;3.32773
1674;2107;2107;11948;6696;3332;3.58583
1670;2312;2312;11288;6680;3332;3.38776
1672;2313;2313;11290;6688;3332;3.38836
1676;2660;2660;14780;6704;3332;4.43577
1678;1944;1944;11100;6712;3332;3.33133
1677;1941;1941;11088;6708;3332;3.32773
1676;1941;1941;11090;6704;3332;3.32833
1676;1941;1941;11090;6704;3332;3.32833
1676;1941;1941;11090;6704;3332;3.32833
1676;1940;1940;11084;6704;3332;3.32653
1678;2110;2110;11954;6712;3332;3.58764
1670;2312;2312;11288;6680;3332;3.38776
1672;2313;2313;11290;6688;3332;3.38836
1670;2312;2312;11288;6680;3332;3.38776
1678;1944;1944;11100;6712;3332;3.33133
1678;1941;1941;11088;6712;3332;3.32773
1674;1938;1938;11080;6696;3332;3.32533
1676;1941;1941;11090;6704;3332;3.32833
1676;1941;1941;11090;6704;3332;3.32833
1676;1940;1940;11084;6704;3332;3.32653
1677;1941;1941;11088;6708;3332;3.32773
1670;2312;2312;11288;6680;3332;3.38776
1672;2313;2313;11290;6688;3332;3.38836
1670;2312;2312;11288;6680;3332;3.38776
1676;1943;1943;11100;6704;3332;3.33133
1676;1941;1941;11090;6704;3332;3.32833
1674;1938;1938;11080;6696;3332;3.32533
1678;1942;1942;11092;6712;3332;3.32893
1676;1941;1941;11090;6704;3332;3.32833
1676;1940;1940;11084;6704;3332;3.32653
1676;1940;1940;11084;6704;3332;3.32653
1670;2312;2312;11288;6680;3332;3.38776
1672;2313;2313;11290;6688;3332;3.38836
1670;2312;2312;11288;6680;3332;3.38776
1678;1944;1944;11100;6712;3332;3.33133
1676;1941;1941;11090;6704;3332;3.32833
1675;1940;1940;11088;6700;3332;3.32773
1678;1942;1942;11092;6712;3332;3.32893
1676;1941;1941;11090;6704;3332;3.32833
1675;1939;1939;11082;6700;3332;3.32593
1676;1940;1940;11084;6704;3332;3.32653
1674;2104;2104;11934;6696;3332;3.58163
1672;2313;2313;11290;6688;3332;3.38836
1671;2312;2312;11288;6684;3332;3.38776
1676;2660;2660;14784;6704;3332;4.43697
1678;1944;1944;11100;6712;3332;3.33133
1676;1941;1941;11090;6704;3332;3.32833
1678;1942;1942;11092;6712;3332;3.32893
1674;1940;1940;11088;6696;3332;3.32773
1677;1941;1941;11088;6708;3332;3.32773
1676;1940;1940;11084;6704;3332;3.32653
1678;1944;1944;11100;6712;3332;3.33133
1672;2313;2313;11290;6688;3332;3.38836
1671;2312;2312;11288;6684;3332;3.38776
1672;2313;2313;11290;6688;3332;3.38836
1678;1944;1944;11100;6712;3332;3.33133
1676;1941;1941;11090;6704;3332;3.32833
1678;1942;1942;11092;6712;3332;3.32893
1674;1940;1940;11088;6696;3332;3.32773
1678;1941;1941;11088;6712;3332;3.32773
1676;1940;1940;11084;6704;3332;3.32653
1677;1942;1942;11092;6708;3332;3.32893
1672;2313;2313;11290;6688;3332;3.38836
1671;2312;2312;11288;6684;3332;3.38776
1672;2313;2313;11290;6688;3332;3.38836
1676;1943;1943;11100;6704;3332;3.33133
1674;1940;1940;11088;6696;3332;3.32773
1676;1942;1942;11096;6704;3332;3.33013
1674;1940;1940;11088;6696;3332;3.32773
1678;1941;1941;11088;6712;3332;3.32773
1675;1942;1942;11094;6700;3332;3.32953
1678;1944;1944;11100;6712;3332;3.33133
1672;2313;2313;11290;6688;3332;3.38836
1671;2312;2312;11288;6684;3332;3.38776
1671;2312;2312;11288;6684;3332;3.38776
1678;1944;1944;11100;6712;3332;3.33133
1674;1940;1940;11088;6696;3332;3.32773
1676;1942;1942;11096;6704;3332;3.33013
1676;1942;1942;11096;6704;3332;3.33013
1678;1941;1941;11088;6712;3332;3.32773
1674;1942;1942;11094;6696;3332;3.32953
1678;1944;1944;11100;6712;3332;3.33133
1675;2105;2105;11936;6700;3332;3.58223
1672;2313;2313;11290;6688;3332;3.38836
1671;2312;2312;11288;6684;3332;3.38776
1672;2313;2313;11290;6688;3332;3.38836
1676;1943;1943;11100;6704;3332;3.33133
1678;1942;1942;11094;6712;3332;3.32953
1676;1942;1942;11096;6704;3332;3.33013
1678;1941;1941;11088;6712;3332;3.32773
1674;1942;1942;11094;6696;3332;3.32953
1677;1941;1941;11088;6708;3332;3.32773
1677;1945;1945;11106;6708;3332;3.33313
1672;2313;2313;11290;6688;3332;3.38836
1671;2312;2312;11288;6684;3332;3.38776
1672;2313;2313;11290;6688;3332;3.38836
1676;1943;1943;11100;6704;3332;3.33133
1678;1942;1942;11094;6712;3332;3.32953
1676;1942;1942;11096;6704;3332;3.33013
1677;1941;1941;11088;6708;3332;3.32773
1674;1942;1942;11094;6696;3332;3.32953
1677;1941;1941;11088;6708;3332;3.32773
1674;1938;1938;11080;6696;3332;3.32533
1672;2313;2313;11290;6688;3332;3.38836
1671;2312;2312;11288;6684;3332;3.38776
1672;2313;2313;11290;6688;3332;3.38836
1674;1942;1942;11098;6696;3332;3.33073
1678;1942;1942;11094;6712;3332;3.32953
1676;1942;1942;11096;6704;3332;3.33013
1676;1941;1941;11090;6704;3332;3.32833
1675;1940;1940;11084;6700;3332;3.32653
1677;1941;1941;11088;6708;3332;3.32773
1674;1938;1938;11080;6696;3332;3.32533
1672;2313;2313;11290;6688;3332;3.38836
1670;2312;2312;11288;6680;3332;3.38776
1672;2313;2313;11290;6688;3332;3.38836
1676;1946;1946;11114;6704;3332;3.33553
1676;1942;1942;11096;6704;3332;3.33013
1674;1940;1940;11088;6696;3332;3.32773
1676;1941;1941;11090;6704;3332;3.32833
1676;1941;1941;11090;6704;3332;3.32833
1677;1941;1941;11088;6708;3332;3.32773
1674;1938;1938;11080;6696;3332;3.32533
1677;2109;2109;11948;6708;3332;3.58583
1670;2312;2312;11288;6680;3332;3.38776
1672;2313;2313;11290;6688;3332;3.38836
1670;2312;2312;11288;6680;3332;3.38776
1678;1945;1945;11106;6712;3332;3.33313
1674;1940;1940;11088;6696;3332;3.32773
1677;1942;1942;11096;6708;3332;3.33013
1676;1941;1941;11090;6704;3332;3.32833
1677;1941;1941;11088;6708;3332;3.32773
1674;1938;1938;11080;6696;3332;3.32533
1679;1945;1945;11102;6716;3332;3.33193
1670;2312;2312;11288;6680;3332;3.38776
1672;2313;2313;11290;6688;3332;3.38836
1670;2312;2312;11288;6680;3332;3.38776
1678;1945;1945;11106;6712;3332;3.33313
1676;1942;1942;11096;6704;3332;3.33013
1678;1942;1942;11094;6712;3332;3.32953
1676;1941;1941;11090;6704;3332;3.32833
1676;1943;1943;11098;6704;3332;3.33073
1676;1942;1942;11092;6704;3332;3.32893
1678;1944;1944;11100;6712;3332;3.33133
1670;2312;2312;11288;6680;3332;3.38776
1672;2313;2313;11290;6688;3332;3.38836
1670;2312;2312;11288;6680;3332;3.38776
1676;1944;1944;11106;6704;3332;3.33313
1676;1942;1942;11096;6704;3332;3.33013
1678;1942;1942;11094;6712;3332;3.32953
1676;1941;1941;11090;6704;3332;3.32833
1675;1942;1942;11094;6700;3332;3.32953
1677;1942;1942;11094;6708;3332;3.32953
1678;1944;1944;11100;6712;3332;3.33133
1670;2312;2312;11288;6680;3332;3.38776
1672;2313;2313;11290;6688;3332;3.38836
1670;2312;2312;11288;6680;3332;3.38776
1678;1944;1944;11104;6712;3332;3.33253
1675;1942;1942;11096;6700;3332;3.33013
1678;1942;1942;11094;6712;3332;3.32953
1675;1943;1943;11100;6700;3332;3.33133
1675;1942;1942;11094;6700;3332;3.32953
1677;1942;1942;11094;6708;3332;3.32953
1678;1944;1944;11100;6712;3332;3.33133
1674;2103;2103;11930;6696;3332;3.58043
1672;2313;2313;11290;6688;3332;3.38836
1670;2312;2312;11288;6680;3332;3.38776
1676;2662;2662;14792;6704;3332;4.43938
1674;1942;1942;11096;6696;3332;3.33013
1676;1942;1942;11096;6704;3332;3.33013
1674;1943;1943;11100;6696;3332;3.33133
1675;1942;1942;11094;6700;3332;3.32953
1677;1942;1942;11094;6708;3332;3.32953
1677;1944;1944;11102;6708;3332;3.33193
1677;2107;2107;11942;6708;3332;3.58403
1672;2313;2313;11290;6688;3332;3.38836
1670;2312;2312;11288;6680;3332;3.38776
1672;2315;2315;11294;6688;3332;3.38956
1676;1945;1945;11108;6704;3332;3.33373
