Number of active Voxels;Number of Leaves;Number of Nodes;TotalLeavesSurfaceArea;TotalActiveCellsSurfaceArea;BoundingBoxSurfaceArea;Average Num. of traversed leaves
1744;2472;2472;16962;6976;3332;5.09064
1780;2504;2504;17062;7120;3332;5.12065
1882;2605;2605;17136;7528;3332;5.14286
1765;2406;2406;16404;7060;3332;4.92317
1753;2392;2392;16388;7012;3332;4.91837
1757;2398;2398;16400;7028;3332;4.92197
1752;2392;2392;16380;7008;3332;4.91597
1750;2392;2392;16380;7000;3332;4.91597
1749;2390;2390;16376;6996;3332;4.91477
1753;2377;2377;16270;7012;3332;4.88295
1750;2483;2483;17094;7000;3332;5.13025
1748;2483;2483;17078;6992;3332;5.12545
1770;2504;2504;17140;7080;3332;5.14406
1911;2625;2625;17246;7644;3332;5.17587
1787;2419;2419;16544;7148;3332;4.96519
1756;2399;2399;16498;7024;3332;4.95138
1758;2404;2404;16522;7032;3332;4.95858
1758;2405;2405;16516;7032;3332;4.95678
1759;2407;2407;16502;7036;3332;4.95258
1760;2406;2406;16496;7040;3332;4.95078
1758;2385;2385;16362;7032;3332;4.91056
1757;2382;2382;16352;7028;3332;4.90756
1757;2363;2363;16218;7028;3332;4.86735
1766;2505;2505;17204;7064;3332;5.16327
1888;2612;2612;17292;7552;3332;5.18968
1799;2511;2511;17140;7196;3332;5.14406
1771;2417;2417;16600;7084;3332;4.98199
1767;2412;2412;16580;7068;3332;4.97599
1771;2417;2417;16606;7084;3332;4.98379
1767;2415;2415;16600;7068;3332;4.98199
1768;2412;2412;16606;7072;3332;4.98379
1765;2394;2394;16468;7060;3332;4.94238
1764;2393;2393;16460;7056;3332;4.93998
1761;2383;2383;16428;7044;3332;4.93037
1759;2363;2363;16296;7036;3332;4.89076
1792;2533;2533;17404;7168;3332;5.22329
1917;2637;2637;17414;7668;3332;5.22629
1782;2458;2458;16938;7128;3332;5.08343
1762;2411;2411;16682;7048;3332;5.0066
1763;2413;2413;16680;7052;3332;5.006
1763;2409;2409;16676;7052;3332;5.0048
1763;2409;2409;16654;7052;3332;4.9982
1764;2409;2409;16666;7056;3332;5.0018
1769;2392;2392;16548;7076;3332;4.96639
1765;2389;2389;16532;7060;3332;4.96158
1767;2390;2390;16534;7068;3332;4.96218
1764;2386;2386;16510;7056;3332;4.95498
1772;2508;2508;17330;7088;3332;5.20108
1857;2601;2601;17532;7428;3332;5.2617
1828;2568;2568;17396;7312;3332;5.22089
1777;2428;2428;16790;7108;3332;5.03902
1759;2411;2411;16764;7036;3332;5.03121
1758;2409;2409;16760;7032;3332;5.03001
1767;2410;2410;16716;7068;3332;5.01681
1761;2403;2403;16722;7044;3332;5.01861
1762;2407;2407;16728;7048;3332;5.02041
1758;2399;2399;16702;7032;3332;5.01261
1762;2384;2384;16594;7048;3332;4.98019
1758;2379;2379;16570;7032;3332;4.97299
1785;2529;2529;17440;7140;3332;5.23409
1902;2622;2622;17536;7608;3332;5.26291
1786;2514;2514;17396;7144;3332;5.22089
1762;2405;2405;16702;7048;3332;5.01261
1760;2404;2404;16692;7040;3332;5.0096
1757;2402;2402;16688;7028;3332;5.0084
1762;2407;2407;16700;7048;3332;5.012
1758;2403;2403;16676;7032;3332;5.0048
1765;2407;2407;16682;7060;3332;5.0066
1758;2405;2405;16702;7032;3332;5.01261
1757;2398;2398;16666;7028;3332;5.0018
1761;2496;2496;16734;7044;3332;5.02221
1853;2600;2600;17676;7412;3332;5.30492
1836;2579;2579;17574;7344;3332;5.27431
1770;2410;2410;16338;7080;3332;4.90336
1762;2394;2394;16062;7048;3332;4.82053
1757;2389;2389;15988;7028;3332;4.79832
1758;2390;2390;15980;7032;3332;4.79592
1762;2394;2394;16052;7048;3332;4.81753
1757;2387;2387;15966;7028;3332;4.79172
1761;2392;2392;16054;7044;3332;4.81813
1760;2515;2515;16926;7040;3332;5.07983
1761;2496;2496;16774;7044;3332;5.03421
1793;2521;2521;16828;7172;3332;5.05042
1911;2632;2632;17396;7644;3332;5.22089
1800;2532;2532;16852;7200;3332;5.05762
1777;2408;2408;16082;7108;3332;4.82653
1762;2398;2398;16062;7048;3332;4.82053
1761;2392;2392;16032;7044;3332;4.81152
1761;2397;2397;16044;7044;3332;4.81513
1763;2396;2396;16032;7052;3332;4.81152
1761;2392;2392;16032;7044;3332;4.81152
1766;2525;2525;17052;7064;3332;5.11765
1768;2513;2513;16908;7072;3332;5.07443
1762;2498;2498;16812;7048;3332;5.04562
1846;2572;2572;16986;7384;3332;5.09784
1869;2595;2595;17000;7476;3332;5.10204
1784;2471;2471;16544;7136;3332;4.96519
1770;2412;2412;16170;7080;3332;4.85294
1766;2411;2411;16192;7064;3332;4.85954
1769;2411;2411;16190;7076;3332;4.85894
1765;2407;2407;16148;7060;3332;4.84634
1769;2406;2406;16178;7076;3332;4.85534
1766;2523;2523;17084;7064;3332;5.12725
1766;2528;2528;17108;7064;3332;5.13445
1769;2516;2516;16982;7076;3332;5.09664
1806;2536;2536;16932;7224;3332;5.08163
1924;2647;2647;17138;7696;3332;5.14346
1813;2540;2540;16960;7252;3332;5.09004
1782;2430;2430;16310;7128;3332;4.89496
1775;2420;2420;16272;7100;3332;4.88355
1768;2416;2416;16268;7072;3332;4.88235
1769;2417;2417;16266;7076;3332;4.88175
1771;2416;2416;16266;7084;3332;4.88175
1775;2421;2421;16268;7100;3332;4.88235
1771;2535;2535;17176;7084;3332;5.15486
1777;2543;2543;17182;7108;3332;5.15666
1784;2533;2533;17086;7136;3332;5.12785
1886;2622;2622;17136;7544;3332;5.14286
1847;2571;2571;17042;7388;3332;5.11465
1796;2443;2443;16368;7184;3332;4.91236
1779;2427;2427;16316;7116;3332;4.89676
1778;2425;2425;16312;7112;3332;4.89556
1777;2422;2422;16306;7108;3332;4.89376
1776;2422;2422;16306;7104;3332;4.89376
1774;2419;2419;16302;7096;3332;4.89256
1779;2542;2542;17210;7116;3332;5.16507
1780;2542;2542;17222;7120;3332;5.16867
1778;2545;2545;17236;7112;3332;5.17287
1852;2579;2579;17094;7408;3332;5.13025
1912;2639;2639;17198;7648;3332;5.16146
1809;2539;2539;17018;7236;3332;5.10744
1791;2441;2441;16406;7164;3332;4.92377
1784;2434;2434;16360;7136;3332;4.90996
1782;2425;2425;16330;7128;3332;4.90096
1784;2427;2427;16332;7136;3332;4.90156
1778;2427;2427;16368;7112;3332;4.91236
1780;2427;2427;16352;7120;3332;4.90756
1784;2437;2437;16394;7136;3332;4.92017
1788;2561;2561;17308;7152;3332;5.19448
1820;2553;2553;17124;7280;3332;5.13926
1930;2673;2673;17402;7720;3332;5.22269
1834;2574;2574;17166;7336;3332;5.15186
1802;2451;2451;16452;7208;3332;4.93758
1795;2454;2454;16482;7180;3332;4.94658
1798;2452;2452;16466;7192;3332;4.94178
1789;2439;2439;16426;7156;3332;4.92977
1791;2443;2443;16440;7164;3332;4.93397
1792;2444;2444;16444;7168;3332;4.93517
1791;2442;2442;16442;7164;3332;4.93457
1788;2438;2438;16436;7152;3332;4.93277
1817;2567;2567;17290;7268;3332;5.18908
1918;2668;2668;17440;7672;3332;5.23409
1879;2631;2631;17340;7516;3332;5.20408
1822;2516;2516;16854;7288;3332;5.05822
1813;2467;2467;16562;7252;3332;4.97059
1801;2461;2461;16520;7204;3332;4.95798
1804;2460;2460;16518;7216;3332;4.95738
1805;2460;2460;16528;7220;3332;4.96038
1801;2458;2458;16526;7204;3332;4.95978
1800;2453;2453;16512;7200;3332;4.95558
1803;2454;2454;16532;7212;3332;4.96158
1813;2586;2586;17484;7252;3332;5.2473
1920;2667;2667;17462;7680;3332;5.2407
1901;2653;2653;17440;7604;3332;5.23409
1834;2538;2538;17004;7336;3332;5.10324
1819;2474;2474;16638;7276;3332;4.9934
1808;2467;2467;16604;7232;3332;4.98319
1813;2469;2469;16606;7252;3332;4.98379
1805;2459;2459;16580;7220;3332;4.97599
1811;2464;2464;16616;7244;3332;4.98679
1809;2463;2463;16624;7236;3332;4.9892
1802;2457;2457;16604;7208;3332;4.98319
1810;2587;2587;17554;7240;3332;5.26831
1879;2640;2640;17444;7516;3332;5.23529
1898;2653;2653;17492;7592;3332;5.2497
1839;2595;2595;17388;7356;3332;5.21849
1820;2498;2498;16864;7280;3332;5.06122
1810;2485;2485;16794;7240;3332;5.04022
1805;2471;2471;16682;7220;3332;5.0066
1802;2472;2472;16678;7208;3332;5.0054
1806;2468;2468;16684;7224;3332;5.0072
1804;2467;2467;16686;7216;3332;5.0078
1809;2466;2466;16684;7236;3332;5.0072
1807;2469;2469;16676;7228;3332;5.0048
1848;2615;2615;17596;7392;3332;5.28091
1938;2689;2689;17642;7752;3332;5.29472
1853;2611;2611;17466;7412;3332;5.2419
1826;2501;2501;16892;7304;3332;5.06963
1816;2498;2498;16850;7264;3332;5.05702
1809;2478;2478;16752;7236;3332;5.02761
1813;2476;2476;16696;7252;3332;5.0108
1808;2467;2467;16680;7232;3332;5.006
1807;2467;2467;16662;7228;3332;5.0006
1812;2469;2469;16706;7248;3332;5.01381
1815;2470;2470;16672;7260;3332;5.0036
1821;2593;2593;17654;7284;3332;5.29832
1893;2648;2648;17576;7572;3332;5.27491
1897;2647;2647;17534;7588;3332;5.2623
1834;2594;2594;17554;7336;3332;5.26831
1823;2497;2497;16952;7292;3332;5.08764
1815;2488;2488;16846;7260;3332;5.05582
1812;2471;2471;16728;7248;3332;5.02041
1809;2470;2470;16680;7236;3332;5.006
1806;2464;2464;16670;7224;3332;5.003
1814;2467;2467;16734;7256;3332;5.02221
1809;2461;2461;16682;7236;3332;5.0066
1818;2585;2585;17618;7272;3332;5.28752
2007;2857;2857;16276;8028;3332;4.88475
1676;2451;2451;14864;6704;3332;4.46098
1676;2451;2451;14864;6704;3332;4.46098
1676;2451;2451;14864;6704;3332;4.46098
1676;2451;2451;14864;6704;3332;4.46098
1676;2451;2451;14864;6704;3332;4.46098
1676;2451;2451;14864;6704;3332;4.46098
1676;2451;2451;14864;6704;3332;4.46098
1676;2451;2451;14864;6704;3332;4.46098
1678;2585;2585;16218;6712;3332;4.86735
1680;2587;2587;16226;6720;3332;4.86975
1788;2636;2636;16084;7152;3332;4.82713
1680;2437;2437;15232;6720;3332;4.57143
1680;2437;2437;15232;6720;3332;4.57143
1680;2437;2437;15232;6720;3332;4.57143
1680;2434;2434;15220;6720;3332;4.56783
1680;2434;2434;15220;6720;3332;4.56783
1677;2429;2429;15202;6708;3332;4.56242
1678;2429;2429;15202;6712;3332;4.56242
1682;2463;2463;15732;6728;3332;4.72149
1682;2463;2463;15732;6728;3332;4.72149
1682;2463;2463;15732;6728;3332;4.72149
1682;2463;2463;15732;6728;3332;4.72149
1682;2463;2463;15732;6728;3332;4.72149
1690;2355;2355;14968;6760;3332;4.4922
1682;2336;2336;14876;6728;3332;4.46459
1681;2335;2335;14876;6724;3332;4.46459
1680;2331;2331;14860;6720;3332;4.45978
1683;2341;2341;14898;6732;3332;4.47119
1683;2341;2341;14898;6732;3332;4.47119
1682;2466;2466;16016;6728;3332;4.80672
1684;2465;2465;15992;6736;3332;4.79952
1684;2465;2465;15992;6736;3332;4.79952
1684;2465;2465;15992;6736;3332;4.79952
1684;2465;2465;15992;6736;3332;4.79952
1684;2465;2465;15992;6736;3332;4.79952
1771;2548;2548;16114;7084;3332;4.83613
1686;2344;2344;15170;6744;3332;4.55282
1682;2339;2339;15152;6728;3332;4.54742
1683;2339;2339;15152;6732;3332;4.54742
1685;2337;2337;15134;6740;3332;4.54202
1685;2466;2466;16260;6740;3332;4.87995
1687;2470;2470;16282;6748;3332;4.88655
1686;2469;2469;16280;6744;3332;4.88595
1686;2469;2469;16280;6744;3332;4.88595
1686;2469;2469;16280;6744;3332;4.88595
1687;2471;2471;16284;6748;3332;4.88715
1783;2562;2562;16434;7132;3332;4.93217
1692;2352;2352;15450;6768;3332;4.63685
1685;2336;2336;15390;6740;3332;4.61885
1685;2336;2336;15390;6740;3332;4.61885
1684;2336;2336;15394;6736;3332;4.62005
1687;2470;2470;16536;6748;3332;4.96279
1687;2470;2470;16536;6748;3332;4.96279
1689;2472;2472;16538;6756;3332;4.96339
1689;2472;2472;16538;6756;3332;4.96339
1690;2474;2474;16542;6760;3332;4.96459
1690;2474;2474;16542;6760;3332;4.96459
1691;2475;2475;16546;6764;3332;4.96579
1714;2400;2400;15864;6856;3332;4.7611
1693;2343;2343;15534;6772;3332;4.66206
1688;2333;2333;15500;6752;3332;4.65186
1689;2409;2409;15794;6756;3332;4.7401
1688;2410;2410;15794;6752;3332;4.7401
1689;2411;2411;15816;6756;3332;4.7467
1691;2415;2415;15822;6764;3332;4.7485
1692;2416;2416;15826;6768;3332;4.7497
1692;2416;2416;15826;6768;3332;4.7497
1692;2416;2416;15826;6768;3332;4.7497
1692;2416;2416;15826;6768;3332;4.7497
1890;2638;2638;16746;7560;3332;5.02581
1698;2296;2296;14970;6792;3332;4.4928
1693;2294;2294;14970;6772;3332;4.4928
1692;2421;2421;15990;6768;3332;4.79892
1693;2422;2422;15990;6772;3332;4.79892
1692;2422;2422;15992;6768;3332;4.79952
1693;2423;2423;15992;6772;3332;4.79952
1694;2422;2422;15990;6776;3332;4.79892
1696;2419;2419;15952;6784;3332;4.78752
1696;2419;2419;15952;6784;3332;4.78752
1697;2420;2420;15954;6788;3332;4.78812
1813;2536;2536;16208;7252;3332;4.86435
1704;2319;2319;15226;6816;3332;4.56963
1701;2299;2299;15114;6804;3332;4.53601
1696;2423;2423;16128;6784;3332;4.84034
1696;2423;2423;16128;6784;3332;4.84034
1696;2423;2423;16128;6784;3332;4.84034
1696;2426;2426;16134;6784;3332;4.84214
1696;2426;2426;16134;6784;3332;4.84214
1697;2424;2424;16130;6788;3332;4.84094
1700;2424;2424;16108;6800;3332;4.83433
1699;2428;2428;16136;6796;3332;4.84274
1705;2433;2433;16148;6820;3332;4.84634
1735;2420;2420;15902;6940;3332;4.77251
1710;2442;2442;16324;6840;3332;4.89916
1705;2437;2437;16306;6820;3332;4.89376
1700;2432;2432;16308;6800;3332;4.89436
1700;2432;2432;16308;6800;3332;4.89436
1701;2430;2430;16286;6804;3332;4.88776
1701;2430;2430;16286;6804;3332;4.88776
1701;2430;2430;16286;6804;3332;4.88776
1702;2431;2431;16286;6808;3332;4.88776
1701;2431;2431;16288;6804;3332;4.88836
1705;2438;2438;16316;6820;3332;4.89676
1863;2590;2590;16590;7452;3332;4.97899
1714;2455;2455;16542;6856;3332;4.96459
1711;2447;2447;16488;6844;3332;4.94838
1706;2438;2438;16448;6824;3332;4.93637
1701;2432;2432;16432;6804;3332;4.93157
1702;2433;2433;16432;6808;3332;4.93157
1702;2433;2433;16432;6808;3332;4.93157
1705;2437;2437;16462;6820;3332;4.94058
1705;2437;2437;16462;6820;3332;4.94058
1704;2437;2437;16462;6816;3332;4.94058
1704;2438;2438;16464;6816;3332;4.94118
