Time for expansion;Time for normal vector calc.;Determining materials;Determining connectivities;Reduced graph num vertices;num componenets;Time for smoothing;Determining visibilities;Setup active cells;Setup partition;Rate calculation;Memory Ray Tracing Data Structure;Level set time integration;Output;Time for Output;Total time step excl. Output;Total time step incl. Output;Chosen time step;Time;Left Time
0.00126152;0.000368853;0.000102991;0;0;0;0;0;0.000758121;0.00147961;0.301048;145164;0.00437042;0;1.85973e-07;0.309395;0.309451;0.0064463;0.469189;79.5308
0.00212046;0.000368219;0.000103535;0;0;0;0;0;0.000767709;0.00150181;0.301885;145164;0.00106037;0;1.05007e-07;0.307813;0.307875;0.00646349;0.475652;79.5243
0.00138703;0.000387589;0.000108165;0;0;0;0;0;0.000817133;0.00150404;0.323528;145228;0.0384907;0;1.54017e-07;0.366229;0.366285;0.00638482;0.482037;79.518
0.0068313;0.000391619;0.0001066;0;0;0;0;0;0.000769355;0.00151739;0.294953;145228;0.00111938;0;8.19564e-08;0.305696;0.30581;0.00672543;0.488762;79.5112
0.00128576;0.000369628;0.000104345;0;0;0;0;0;0.000762721;0.00149931;0.303559;145192;0.00105766;0;6.90343e-08;0.308644;0.308705;0.00598445;0.494747;79.5053
0.00130249;0.000369468;0.000105294;0;0;0;0;0;0.000761501;0.00149849;0.30087;144956;0.00119223;0;7.20029e-08;0.306106;0.306164;0.00622083;0.500968;79.499
0.00131211;0.00037618;0.000105081;0;0;0;0;0;0.000893953;0.00169339;0.317896;144956;0.00114052;0;7.79983e-08;0.323448;0.323559;0.00674419;0.507712;79.4923
0.00686321;0.000453857;0.000109663;0;0;0;0;0;0.00078448;0.00155931;0.316959;145280;0.00117755;0;1.67987e-07;0.327912;0.327991;0.0065681;0.51428;79.4857
0.00131788;0.000373676;0.000106357;0;0;0;0;0;0.000759304;0.00152871;0.309602;149336;0.00112172;0;9.30158e-08;0.314816;0.314873;0.0061367;0.520417;79.4796
0.00143922;0.000380237;0.000107733;0;0;0;0;0;0.000839937;0.00146308;0.291114;138368;0.00114632;0;2.6403e-07;0.296497;0.327135;0.00609718;0.526514;79.4735
0.00128148;0.000368207;0.000104868;0;0;0;0;0;0.000764695;0.00160231;0.331068;145952;0.00108341;0;1.55997e-07;0.336279;0.336337;0.00662129;0.533135;79.4669
0.00983149;0.000371321;0.000104018;0;0;0;0;0;0.000758535;0.00148368;0.30605;145780;0.00139662;0;8.9989e-08;0.320001;0.320127;0.00657011;0.539705;79.4603
0.00150543;0.000367345;0.000104547;0;0;0;0;0;0.000752649;0.00151024;0.308335;145780;0.00749203;0;7.49715e-08;0.320073;0.320134;0.00654846;0.546254;79.4537
0.00180227;0.000428571;0.000145558;0;0;0;0;0;0.000821754;0.0015799;0.394078;145816;0.0013659;0;8.69622e-08;0.400227;0.400288;0.00633159;0.552585;79.4474
0.00183124;0.000372784;0.000105471;0;0;0;0;0;0.00076527;0.00150722;0.336149;145816;0.00115113;0;1.50991e-07;0.341887;0.341956;0.00681283;0.559398;79.4406
0.00125052;0.000369183;0.00010488;0;0;0;0;0;0.000763255;0.00150807;0.292748;145816;0.00113976;0;2.4098e-07;0.297888;0.297947;0.00655162;0.56595;79.4341
0.0014573;0.000419342;0.000104375;0;0;0;0;0;0.000856204;0.00155519;0.2994;145888;0.00106221;0;8.39937e-08;0.304859;0.304914;0.00668307;0.572633;79.4274
0.00125824;0.000369724;0.000103693;0;0;0;0;0;0.000762493;0.00157051;0.323769;145952;0.00117288;0;1.11002e-07;0.329012;0.329069;0.0060468;0.57868;79.4213
0.0126678;0.000435102;0.000140879;0;0;0;0;0;0.000852378;0.00165114;0.316612;145960;0.00118096;0;8.9989e-08;0.333546;0.333649;0.00610751;0.584787;79.4152
0.00158581;0.000436778;0.00013946;0;0;0;0;0;0.000869679;0.00172077;0.396307;151724;0.0525895;0;2.70025e-07;0.453656;0.453739;0.00632691;0.591114;79.4089
0.0262932;0.000372355;0.000109976;0;0;0;0;0;0.000814373;0.00156042;0.331438;140524;0.00108478;0;1.43948e-07;0.361678;0.361876;0.0061853;0.597299;79.4027
0.00221591;0.000374292;0.000104669;0;0;0;0;0;0.000764793;0.00149504;0.326342;146860;0.00109527;0;1.0198e-07;0.332398;0.332456;0.0062906;0.60359;79.3964
